shop_id,store_url,pdf_links,status
67e2d431c1670104499c15fb,https://www.pampanorama.it/punti-vendita/genova-sestri,[],No flyers
67e2d431c1670104499c1600,https://www.pampanorama.it/punti-vendita/brescia,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
67e2d431c1670104499c1605,https://www.pampanorama.it/punti-vendita/panorama-alatri,"['https://resources.volantinopiu.it/flyer/2/0/9/6/3/0632fed7d0fca8cbfd88e177cfd1c142.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/7/6/2e4b0b9bf4e5ac09e86a9046715a59ce.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/5/b44341167782c6565ae3309bbb204e1f.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/9/2262fd8bf73c42ebee0561e9e1ddc119.pdf']",success
67e2d431c1670104499c160a,https://www.pampanorama.it/punti-vendita/pam-quinzano-d-oglio,[],No flyers
67e2d431c1670104499c160f,https://www.pampanorama.it/punti-vendita/bordighera,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d431c1670104499c1614,https://www.pampanorama.it/punti-vendita/pam-sanremo-agosti,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67cea8266fd4d1.06230806.pdf'],success
67e2d431c1670104499c1619,https://www.pampanorama.it/punti-vendita/sanremo,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d431c1670104499c161e,https://www.pampanorama.it/punti-vendita/cervo,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d431c1670104499c1623,https://www.pampanorama.it/punti-vendita/san-bartolomeo,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d431c1670104499c1628,https://www.pampanorama.it/punti-vendita/diano-marina-kennedy-107,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67cea8266fd4d1.06230806.pdf'],success
67e2d431c1670104499c162d,https://www.pampanorama.it/punti-vendita/diano-marina,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d431c1670104499c1632,https://www.pampanorama.it/punti-vendita/imperia-bianchi,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d431c1670104499c1637,https://www.pampanorama.it/punti-vendita/imperia-repubblica,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67cea8266fd4d1.06230806.pdf'],success
67e2d432c1670104499c163c,https://www.pampanorama.it/punti-vendita/laigueglia,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d432c1670104499c1641,https://www.pampanorama.it/punti-vendita/imperia-aurelia,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67cea8266fd4d1.06230806.pdf'],success
67e2d432c1670104499c1646,https://www.pampanorama.it/punti-vendita/taggia,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67ceaa04a76424.66971072.pdf'],success
67e2d432c1670104499c164b,https://www.pampanorama.it/punti-vendita/pam-molteno,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67cea939342d09.59338971.pdf'],success
67e2d432c1670104499c1650,https://www.pampanorama.it/punti-vendita/pam-la-spezia,['https://d3qvpdlg8gbf2k.cloudfront.net/post/banner/_67cea855e4daf5.28361110.pdf'],success
67e2d432c1670104499c1655,https://www.pampanorama.it/punti-vendita/fosdinovo,"['https://resources.volantinopiu.it/flyer/2/0/9/6/3/0632fed7d0fca8cbfd88e177cfd1c142.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/7/6/2e4b0b9bf4e5ac09e86a9046715a59ce.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/5/b44341167782c6565ae3309bbb204e1f.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/9/2262fd8bf73c42ebee0561e9e1ddc119.pdf']",success
67e2d432c1670104499c165a,https://www.pampanorama.it/punti-vendita/monza,[],No flyers
67e2d432c1670104499c165f,https://www.pampanorama.it/punti-vendita/milano-tartini,[],No flyers
67e2d432c1670104499c1664,https://www.pampanorama.it/punti-vendita/milano-padova,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
67e2d432c1670104499c1669,https://www.pampanorama.it/punti-vendita/local-milano-teodosio,[],No flyers
67e2d432c1670104499c166e,https://www.pampanorama.it/punti-vendita/milano-bazzini,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
67e2d432c1670104499c1673,https://www.pampanorama.it/punti-vendita/milano-costa,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
67e2d432c1670104499c1678,https://www.pampanorama.it/punti-vendita/milano-monza,[],No flyers
67e2d432c1670104499c167d,https://www.pampanorama.it/punti-vendita/milano-piccinni,"['https://resources.volantinopiu.it/flyer/2/0/9/0/6/9ef815e01d22772b45f14d18b3df4ab4.pdf', 'https://resources.volantinopiu.it/flyer/2/0/9/6/6/4308e97aba63e8a50a43585721d1673a.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/6/8/6de916e7fa77d8bc7bae1e3faf6b9bb0.pdf', 'https://resources.volantinopiu.it/flyer/2/1/0/7/0/55b45461e5868d406a4f1768610c039e.pdf']",success
67e2d432c1670104499c1682,https://www.pampanorama.it/punti-vendita/milano-settembrini,[],No flyers
67e2d432c1670104499c1687,https://www.pampanorama.it/punti-vendita/milano-filzi,[],No flyers
67e2d433c1670104499c168c,https://www.pampanorama.it/punti-vendita/milano-stelvio,[],No flyers
67e2d433c1670104499c1691,https://www.pampanorama.it/punti-vendita/milano-mahon,[],No flyers
67e2d433c1670104499c1696,https://www.pampanorama.it/punti-vendita/pam-milano-varesina,[],No flyers
