Store Name,Address,Contact,Latitude,Longitude,Store URL,formatted_address,street_number,route,locality,admin_area_3,admin_area_2,admin_area_1,country,country_code,postal_code,latitude,longitude,Shop ID
Roma Quattro Venti,"Viale dei Quattro Venti 81 - 83, 00152 Roma , RM","06/45751870, ",41.8820992,12.4588003,https://www.pampanorama.it/punti-vendita/roma-quattroventi,"Viale dei Quattro Venti, 79, 00152 Roma RM, Italy",79,Viale dei Quattro Venti,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,152.0,41.8821286,12.4589224,67e2d438c1670104499c185d
Roma Filiberto,"Via Emanuele Filiberto, 180, 00185 Roma , RM",", ",41.8872986,12.5086002,https://www.pampanorama.it/punti-vendita/roma-filiberto,"Via Emanuele Filiberto, 180, 00185 Roma RM, Italy",180,Via Emanuele Filiberto,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,185.0,41.8872519,12.508559,67e2d438c1670104499c1862
Roma San Paolo II,"Via San Paolo II, 9a, 00165 Roma , RM","06 94358039, ",41.89816,12.453519,https://www.pampanorama.it/punti-vendita/city-roma-san-paolo-ii,"Via Paolo II, 9a, 00165 Roma RM, Italy",9a,Via Paolo II,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,165.0,41.8982004,12.4535694,67e2d438c1670104499c1867
Roma Taranto,"Via Taranto, 2, 00182 Roma , RM",", ",41.885163,12.511522,https://www.pampanorama.it/punti-vendita/pam-local-roma-taranto,"Via Taranto, 6, 00182 Roma RM, Italy",6,Via Taranto,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,182.0,41.8851344,12.5115768,67e2d438c1670104499c186c
Roma Circonvallazione Ostiense,"Circonvallazione Ostiense, 270/280, 00154 Roma , RM","0645519304, ",41.8670998,12.4940996,https://www.pampanorama.it/punti-vendita/roma-ostiense,"Largo Angelo Fochetti, 347, 00154 Roma RM, Italy",347,Largo Angelo Fochetti,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,154.0,41.8674584,12.4941833,67e2d439c1670104499c1871
Roma Caselli,"Via Caselli 71, 00149 Roma , RM","065561945, ",41.86964,12.463702,https://www.pampanorama.it/punti-vendita/pam-roma-caselli,"Via Giovanni Caselli, 67, 00149 Roma RM, Italy",67,Via Giovanni Caselli,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,149.0,41.8696505,12.46364,67e2d439c1670104499c1876
Roma Fermi,"via Fermi, 29, Roma , RM",", ",41.864552,12.47044,https://www.pampanorama.it/punti-vendita/roma-fermi,"Via Roberto Marcolongo, 1, 00146 Roma RM, Italy",1,Via Roberto Marcolongo,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,146.0,41.8645634,12.4704067,67e2d439c1670104499c187b
Roma Appia,"Via Appia Nuova, 189, 00183 Roma , RM","0642990495, ",41.88034,12.51621,https://www.pampanorama.it/punti-vendita/roma-appia,"Via Appia Nuova, 189, 00182 Roma RM, Italy",189,Via Appia Nuova,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,182.0,41.8803497,12.5162156,67e2d439c1670104499c1880
Roma Baccarini,"Via Baccarini 22a, angolo via Amari 1, 00149 Roma , RM","0687663377, ",41.8753014,12.5165005,https://www.pampanorama.it/punti-vendita/roma-baccarini,"Via Michele Amari, 10, 00179 Roma RM, Italy",10,Via Michele Amari,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,179.0,41.8753166,12.516417,67e2d439c1670104499c1885
Roma Ravenna,"Via Ravenna, 47, 00161 Roma , RM","06/45590545, ",41.91332,12.51954,https://www.pampanorama.it/punti-vendita/roma-ravenna,"Via Ravenna, 45, 00161 Roma RM, Italy",45,Via Ravenna,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,161.0,41.9133285,12.5195074,67e2d439c1670104499c188a
Valle Aurelia,"Viale di Valle Aurelia, 32, 00147 Roma , RM","06 9667 8013, ",41.9025993,12.4389,https://www.pampanorama.it/punti-vendita/pam-valle-aurelia,"Via di Valle Aurelia, 62, 00167 Roma RM, Italy",62,Via di Valle Aurelia,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,167.0,41.9024625,12.438935,67e2d439c1670104499c188f
Roma Colli Portuensi,"Via dei Colli Portuensi, 191, 00151 Roma , RM","065373736, ",41.870679,12.443484,https://www.pampanorama.it/punti-vendita/pam-roma-colli-portuensi,"Viale dei Colli Portuensi, 187/6, 00151 Roma RM, Italy",187/6,Viale dei Colli Portuensi,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,151.0,41.870611,12.4434752,67e2d439c1670104499c1894
Roma Furio Camillo,"Viale Furio Camillo, 57, 00179 Roma , RM",", ",41.87582,12.52419,https://www.pampanorama.it/punti-vendita/furio-camillo,"Viale Furio Camillo, 65, 00181 Roma RM, Italy",65,Viale Furio Camillo,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,181.0,41.8758287,12.5241292,67e2d439c1670104499c1899
Roma Balduina,"Piazza della Balduina, 48, 00136 Roma , RM","0635340309, ",41.9189987,12.4407997,https://www.pampanorama.it/punti-vendita/roma-balduina,"Piazza della Balduina, 52, 00136 Roma RM, Italy",52,Piazza della Balduina,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,136.0,41.9189684,12.4409759,67e2d439c1670104499c189e
Roma Tiburtina,"P.le della Stazione Tiburtina 11, 00162 Roma , RM","06/45519210, ",41.9098015,12.5305004,https://www.pampanorama.it/punti-vendita/roma-tiburtina,"Staz.Ne Tiburtina (Mb), 00162 Roma RM, Italy",,,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,162.0,41.9098039,12.5304761,67e2d439c1670104499c18a3
Roma Boccea,"Via Di Boccea, 45, 00165 Roma , RM","06 / 89371431, ",41.9000015,12.4285002,https://www.pampanorama.it/punti-vendita/pam-local-roma-boccea,"Via di Boccea, 45, 00165 Roma RM, Italy",45,Via di Boccea,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,165.0,41.89994919999999,12.4284754,67e2d439c1670104499c18a8
Roma Serafini,"Via Serafini, 98, 00164 Roma , RM","0645429270, ",41.877194,12.428505,https://www.pampanorama.it/punti-vendita/roma-serafini,"Via Camillo Serafini, 98, 00164 Roma RM, Italy",98,Via Camillo Serafini,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,164.0,41.8772053,12.428458,67e2d439c1670104499c18ad
Tiburtina,"Via Tiburtina, 757, 00159 Roma , RM","06/41790701, ",41.9126015,12.5542002,https://www.pampanorama.it/punti-vendita/tiburtina,"Via Tiburtina, 755, 00157 Roma RM, Italy",755,Via Tiburtina,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,157.0,41.9126087,12.5539709,67e2d439c1670104499c18b2
Aurelia,"Via Aurelia, 822, 00165 Roma , RM","06 6650051, ",41.8879013,12.4041004,https://www.pampanorama.it/punti-vendita/aurelia,"V. Aurelia, 830, 00165 Roma RM, Italy",830,Via Aurelia,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,165.0,41.888002,12.4039333,67e2d439c1670104499c18b7
