Store Name,Address,Contact,Latitude,Longitude,Store URL
Pam Carpaneto,"Via Pallastrelli, 1 – 29013 Carpaneto Piacentino (PC), Piacenza ,",", ",N/A,N/A,https://www.pampanorama.it/punti-vendita/pam-carpaneto
PAM XXIV Maggio,"Via XXIV Maggio, 20 - 29021 Bettola (PC), Bettola , Piacenza",", ",N/A,N/A,https://www.pampanorama.it/punti-vendita/pam-xxiv-maggio
Pam Gossolengo,"Via dei Rivi, 62 - 29020 Gossolengo (PC), Gossolengo , Piacenza",", ",44.999954,9.619590,https://www.pampanorama.it/punti-vendita/pam-gossolengo
Battipaglia,"Corso Garibaldi - 21, Battipaglia , SA","334 94 10 261, ",40.61022,14.98476,https://www.pampanorama.it/punti-vendita/battipaglia
Eboli Bruno Buozzi,"Via Bruno Buozzi, 9, 84025 Eboli , SA","0828-1892524, ",40.615665,15.054671,https://www.pampanorama.it/punti-vendita/eboli-via-bruno-buozzi-retail-pro
Eboli,"Via Veneto, 63, Eboli , SA",", ",40.617740,15.061038,https://www.pampanorama.it/punti-vendita/eboli-veneto
Eboli Tavoliello,"Via Tavoliello, 195, 84025 Eboli , SA","0828 366397, ",40.61653,15.07191,https://www.pampanorama.it/punti-vendita/eboli-via-tavoliello-retail-pro
Imola,"Via Zello, 1/A, 40026 Imola , BO","054/231054, ",44.34400180,11.73960020,https://www.pampanorama.it/punti-vendita/imola
Imola Punta,"Via Punta, 1 – 40026 Imola (BO), Imola , BO",", ",N/A,N/A,https://www.pampanorama.it/punti-vendita/imola-punta
Omignano Scalo Via Nazionale,"Via Nazionale, 6, 84070 Omignano Scalo , SA","0974 716028, ",40.25736,15.13359,https://www.pampanorama.it/punti-vendita/omignano-scalo-via-nazionale-retail-pro
Capaccio Fraz. Licinella,"Via Cesare Pavese, 48, 84047 Capaccio Paestum , SA","0828 721155, ",40.40413,15.00495,https://www.pampanorama.it/punti-vendita/capaccio-fraz-licinella-retail-pro
Ravenna Diaz,"Via Armando Diaz, 19-21, 48121 Ravenna , RA","0544 1881618, ",44.418054,12.201348,https://www.pampanorama.it/punti-vendita/pam-local-ravenna-diaz
Pam Fogliano,"Via Louis Daniel Armstrong 2, 42122 Fogliano (RE), Fogliano , RE",", ",44.651803,10.643837,https://www.pampanorama.it/punti-vendita/pam-fogliano
Pam Quinzio,"Via Alberto Ferioli, 18 – 42122 Reggio nell’Emilia (RE) Centro commerciale Quinzio, Reggio Emilia , reggio emilia",", ",N/A,N/A,https://www.pampanorama.it/punti-vendita/pam-quinzio
Reggio Emilia,"Via Emilia San Pietro, 49, 42121 Reggio Emilia , RE","0522/046413, ",44.69590000,10.63770010,https://www.pampanorama.it/punti-vendita/reggio-emilia
Atripalda Cassese,"Piazza Cassese, 10, 83042 Atripalda , AV","0825 610237, ",40.91825,14.82955,https://www.pampanorama.it/punti-vendita/atripalda-p-zza-cassese-retail-pro
